Last Updated:,11/17/2025,,,,,,
Number,NAME,Lat,Long,Seasonal Status,Municipality,Total Docks,Station ID (to match to historic system data)
M32090,O'Brien Highway at First Street,42.370982,-71.076638,Year Round,Cambridge,19,No ID pre-March 2023
B32017,Nubian Square - Bolling Building,42.32984299,-71.08386572,Year Round,Boston,18,56
R32004,Northern Strand at Salem Street,42.441956,-71.014680,Year Round,Revere,11,No ID pre-March 2023
G32002,Northern Strand at Main St,42.42386,-71.067793,Year Round,Malden,11,585
G32004,Northern Strand at Bike Kitchen,42.420834,-71.072165,Year Round,Malden,11,No ID pre-March 2023
V32017,Northern Strand - West St & Wellington Ave,42.403444,-71.063278,Year Round,Everett,11,No ID pre-March 2023
C32071,Northern Ave at Haul Rd,42.347181,-71.035796,Year Round,Boston,20,No ID pre-March 2023
C32068,Northampton St at Fellows St,42.330982,-71.075526,Year Round,Boston,19,No ID pre-March 2023
T32015,North St at Liberty Hill Ave,42.52989965,-70.90614259,Year Round,Salem,11,589
N32002,Nonantum Library,42.36068456,-71.201462,Year Round,Newton,15,468
W32007,Nichols Ave. at Watertown Greenway,42.36762049,-71.15656637,Year Round,Watertown,12,509
N32013,Newton Library,42.33620337,-71.20779455,Year Round,Newton,13,527
N32010,Newton Highlands T,42.32206566,-71.20637298,Year Round,Newton,15,524
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Year Round,Boston,15,138
D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Year Round,Boston,15,37
B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Year Round,Boston,15,201
A32021,Nashua Street at Red Auerbach Way [Extension],42.365858,-71.064157,Year Round,Boston,32,No ID pre-March 2023
A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Year Round,Boston,37,190
A32015,N. Harvard St at Harvard Way,42.366783,-71.125175,Winter Storage,Boston,20,No ID pre-March 2023
F32015,Mystic Valley Parkway at River Station,42.415045,-71.138979,Year Round,Arlington,12,No ID pre-March 2023
F32016,Mystic Ave at Crescent St,42.410810,-71.106276,Year Round,Medford,11,No ID pre-March 2023
M32045,Museum of Science,42.36769018,-71.07116282,Year Round,Cambridge,19,182
C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Year Round,Boston,19,146
D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Year Round,Boston,19,58
M32043,Mt Auburn,42.37478629,-71.13320231,Year Round,Cambridge,19,180
C32103,Morton St at Gallivan Blvd,42.278747,-71.080286,Year Round,Boston,15,545
M32086,Morgan Ave at North First St,42.37197726,-71.07585847,Year Round,Cambridge,23,No ID pre-March 2023
M32089,Moore Youth Center,42.363539,-71.111698,Year Round,Cambridge,15,No ID pre-March 2023
B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Year Round,Boston,15,197
M32042,MIT Vassar St,42.35560121,-71.10394478,Year Round,Cambridge,53,179
M32005,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,Year Round,Cambridge,35,80
M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,Year Round,Cambridge,19,178
M32071,MIT Hayward St at Amherst St,42.36085937,-71.08551858,Year Round,Cambridge,27,472
M32070,MIT Carleton St at Amherst St,42.36054174,-71.08669817,Year Round,Cambridge,27,471
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Year Round,Cambridge,31,67
L32009,Mill St. at Minuteman Bikeway,42.418603,-71.157536,Year Round,Arlington,11,No ID pre-March 2023
L32010,Medford St at Warren St,42.416491,-71.148134,Year Round,Arlington,11,No ID pre-March 2023
D32066,Medford St at McNulty Ct,42.379166,-71.057863,Year Round,Boston,20,No ID pre-March 2023
D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Year Round,Boston,19,358
F32002,Medford Sq - Riverside Ave at River St,42.417724,-71.108102,Year Round,Medford,11,577
C32112,Meaney Playground - Pleasant St at E Cottage St,42.31870275,-71.05889978,Year Round,Boston,17,No ID pre-March 2023
T32004,Mayor Salvo Path at Mill St,42.5180352,-70.89570075,Year Round,Salem,11,519
A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Year Round,Boston,15,436
A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Year Round,Boston,33,212
C32045,Mattapan T Stop,42.267902,-71.093641,Year Round,Boston,15,336
C32050,Mattapan Library,42.2773889,-71.09325,Year Round,Boston,15,353
C32004,Massachusetts Ave at Columbus Ave,42.340835,-71.0816197,Year Round,Boston,14,57
B32065,Massachusetts Ave at Boylston St.,42.34752,-71.088012,Year Round,Boston,24,No ID pre-March 2023
M32085,Mass Ave/Lafayette Square,42.36356499,-71.10044184,Year Round,Cambridge,15,No ID pre-March 2023
C32063,Mass Ave T Stop,42.34135616,-71.08336953,Year Round,Boston,16,404
M32056,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,Year Round,Cambridge,19,334
L32003,Mass Ave at Grafton St,42.40726052,-71.14382132,Year Round,Arlington,11,464
L32006,[Removed] [Removed] Mass Ave at Broadway,42.41420213,-71.15051883,Year Round,Arlington,0,510
L320013,Mass Ave at Alewife Greenway,42.401325,-71.136510,Year Round,Arlington,12,No ID pre-March 2023
M32061,Mass Ave at Albany St,42.36135838,-71.09670274,Year Round,Cambridge,18,380
E32012,Martha Eliot Health Center,42.324173,-71.10196,Year Round,Boston,16,488
D32074,Market St at Mapleton St,42.352622,-71.151397,Winter Storage,Boston,16,No ID pre-March 2023
A32048,Marion St at White St,42.38066931,-71.03907316,Year Round,Boston,19,477
K32012,Marion St at Harvard St,42.34012243,-71.12070564,Year Round,Brookline,15,403
G32006,Maplewood Square,42.260090,-71.024660,Year Round,Malden,11,No ID pre-March 2023
G32003,Malden High School,42.42653766,-71.06393695,Year Round,Malden,11,587
G32001,Malden Center T Station,42.426541,-71.073179,Year Round,Malden,11,584
M32080,Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,Year Round,Cambridge,23,566
D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Year Round,Boston,15,327
D32064,Main St at Salem St,42.377370,-71.066770,Year Round,Boston,20,No ID pre-March 2023
F32001,Main St at Brooks Park,42.411709,-71.110444,Year Round,Medford,11,576
D32036,Main St at Baldwin St,42.380857,-71.070629,Year Round,Boston,19,280
D32020,Main St at Austin St,42.375603,-71.064608,Year Round,Boston,11,94
S32013,Magoun Square at Trum Field,42.3977834,-71.10594004,Year Round,Somerville,19,137
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,Year Round,Cambridge,19,105
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Year Round,Boston,15,11
F32008,Logan Park,42.41800743,-71.09657221,Year Round,Medford,11,No ID pre-March 2023
L32002,Linwood St at Minuteman Bikeway,42.40935396,-71.14906519,Year Round,Arlington,11,462
M32025,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,Year Round,Cambridge,19,No ID pre-March 2023
E32015,Lincoln St at Empire St,42.357651,-71.128513,Year Round,Boston,19,No ID pre-March 2023
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Year Round,Boston,31,40
A32057,Lewis Mall Wharf,42.36567871,-71.04030132,Year Round,Boston,21,No ID pre-March 2023
M32039,Lesley University,42.38674802,-71.11901879,Year Round,Cambridge,15,176
D32061,Lenox St at Kendall St,42.33759485,-71.08255059,Year Round,Boston,17,No ID pre-March 2023
M32001,[Removed] Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Year Round,Cambridge,0,No ID pre-March 2023
M32095,Lechmere Canal Park,42.36984,-71.076079,Year Round,Cambridge,27,No ID pre-March 2023
B32058,Lansdowne T Stop,42.34734473,-71.10016808,Year Round,Boston,27,400
B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Year Round,Boston,15,32
L32008,Lake St. at Minuteman Bikeway,42.40417,-71.146904,Year Round,Arlington,11,No ID pre-March 2023
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,Year Round,Cambridge,15,75
T32006,Lafayette at Leach St,42.51142784,-70.89183301,Year Round,Salem,11,521
G32005,Kierstead Park,42.429338,-71.051913,Year Round,Malden,11,No ID pre-March 2023
M32065,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,Year Round,Cambridge,19,413
B32010,Kenmore Square,42.348706,-71.097009,Year Round,Boston,27,33
M32004,Kendall T,42.36242784,-71.08495474,Year Round,Cambridge,23,189
M32032,Kendall Street,42.36356016,-71.08216792,Year Round,Cambridge,15,141
V32013,Kearins Playground,42.40616124,-71.06041655,Year Round,Everett,11,482
M32083,John Ahern Field at Kennedy-Longfellow School,42.36903567,-71.0863096,Year Round,Cambridge,19,590
C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Year Round,Boston,31,93
K32004,JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211,Year Round,Brookline,15,103
B32011,[Removed] Jersey St. at Boylston St.,42.349228,-71.095751,Year Round,Boston,0,No ID pre-March 2023
D32052,Jamaica St at South St,42.30604563,-71.11570891,Year Round,Boston,19,424
E32006,Jackson Square T Stop,42.32293117,-71.10014141,Year Round,Boston,18,131
